word1           word2           human      Lin                  Resnik               Word2Vec            
tiger           cat                   7.35   2.0875196749630205   2.2241504712318556   3.1289076805114746
tiger           tiger                 10.0                 10.0    12.26837533572617                 10.0
book            paper                 7.46   1.2143570284702045   0.8017591149538994    4.542160928249359
computer        keyboard              7.62    3.737908423475237    4.076481475394825   4.4146111607551575
computer        internet              7.58    3.301904295102813   3.2576790258866897    5.857782363891602
plane           car                   5.77    7.194339072268571    5.921764790699729    3.815215826034546
train           car                   6.31    6.786666052669672    5.768922519672357    4.673362970352173
telephone       communication          7.5                 -0.0                 -0.0    4.718911349773407
television      radio                 6.77    9.036510587018252    8.924336367903962   6.7896997928619385
media           radio                 7.42    8.322760066971366    7.020766639170194    4.727628231048584
drug            abuse                 6.85                 -0.0                 -0.0    4.468926191329956
bread           butter                6.19    7.114204901462941    6.879811091330354    6.225634813308716
cucumber        potato                5.92 1.6035182299077988e-299   0.8017591149538994     4.51946884393692
doctor          nurse                  7.0    8.351534747090344     7.93035864204873    5.859818458557129
professor       doctor                6.62    7.036526610448273    6.394069019505728    4.195367097854614
student         professor             6.81   2.6208607023317687    2.333545243735693     4.57916647195816
smart           student               4.62                 -0.0                 -0.0   2.3027515411376953
smart           stupid                5.81                 -0.0                 -0.0    4.276131689548492
company         stock                 7.08      0.6964952747566   0.5962292078977726    4.694983065128326
stock           market                8.08   0.6563718869196877   0.5962292078977726    6.743507385253906
stock           phone                 1.62                 -0.0                 -0.0    2.390124648809433
stock           cd                    1.31    2.783129418196296    3.036577932314865   1.0436851531267166
stock           jaguar                0.92                 -0.0                 -0.0   0.6333697587251663
stock           egg                   1.81                 -0.0                 -0.0   1.4255410432815552
fertility       egg                   6.69                 -0.0                 -0.0    2.264743000268936
stock           live                  3.73                  0.0                    0   1.3229955732822418
stock           life                  0.92   0.6903709313332212   0.5962292078977726    2.270859330892563
book            library               7.46   2.6582077887402433    2.305848731451232    4.165313243865967
bank            money                 8.12                 -0.0                 -0.0    4.363054037094116
wood            forest                7.73   0.6812573196394262   0.5962292078977726   3.9838752150535583
money           cash                  9.08    7.888839126424346    6.254931881899411    7.336214780807495
professor       cucumber              0.31 4.448300942463711e-299   2.2241504712318556    -0.54178886115551
king            cabbage               0.23   0.8665047534890641   0.8017591149538994 -0.14721645042300224
king            queen                 8.58   2.5872135992145147   2.2241504712318556    6.336469054222107
king            rook                  5.92   1.6418595658458828   1.5318337432196856    1.914372444152832
bishop          rabbi                 6.69    6.655650900427844    6.961759166363437   3.3189472556114197
football        soccer                9.03    9.057530055264609   11.064402531400233    7.682591676712036
football        basketball            6.81    7.536025025710654    8.716206927154134    7.341023683547974
football        tennis                6.63    7.699955045932811    8.716206927154134    4.629794061183929
tennis          racket                7.56    1.699674361940393    2.036327717785946     3.43211829662323
law             lawyer                8.38                 -0.0                 -0.0    4.492787718772888
movie           star                  7.38   1.8932685175348656   1.5318337432196856    5.045109391212463
movie           popcorn               6.19 3.063667486439371e-299   1.5318337432196856   3.0692878365516663
movie           critic                6.73   1.8027991154249121   1.5318337432196856   2.7379870414733887
movie           theater               7.92    2.933164649344553    2.305848731451232   4.7846680879592896
physics         proton                8.12                 -0.0                 -0.0    1.082446351647377
physics         chemistry             7.35     8.17907088214157    8.716206927154134    7.379895448684692
space           chemistry             4.88   0.5953492550918607   0.5962292078977726    1.741025149822235
alcohol         chemistry             5.54   0.6223542714689646   0.5962292078977726   1.5218894183635712
vodka           gin                   8.46 1.7712256235754857e-298    8.856128117877429    5.973148941993713
vodka           brandy                8.13 1.7712256235754857e-298    8.856128117877429    5.515040159225464
drink           car                   3.04                 -0.0                 -0.0    2.275724709033966
drink           ear                   1.31                 -0.0                 -0.0   1.0249478369951248
drink           mouth                 5.96                 -0.0                 -0.0   2.4786974489688873
drink           eat                   6.87    5.786779236153949    4.721425374936297    6.121312975883484
baby            mother                7.85    6.315913189894093    5.710492791428491    5.449445843696594
drink           mother                2.65                 -0.0                 -0.0   2.0563261210918427
car             automobile            8.94                 10.0    7.591401417609093    5.955728888511658
gem             jewel                 8.96   2.1259210832519866    2.305848731451232    4.825545251369476
journey         voyage                9.29   6.9691765730277115    6.180338778993439    6.585056185722351
boy             lad                   8.83    6.147396351443222    5.332140585422163   3.0439937114715576
coast           shore                  9.1    9.632173804623257    9.415743905812851    5.113322138786316
asylum          madhouse              8.87    3.445877309961412    3.979366155201983   0.1392853446304798
magician        wizard                9.02   2.1590925682506263    2.333545243735693    4.954693913459778
midday          noon                  9.29                 10.0   11.064402531400233    6.871417164802551
furnace         stove                 8.79   2.2813808925013808    2.305848731451232    5.576940178871155
food            fruit                 7.52   1.2795371229682395   0.8017591149538994    4.265903830528259
bird            cock                   7.1   0.9387862411688587   0.8017591149538994   2.4072742462158203
bird            crane                 7.38   2.1857259151379678   2.2241504712318556    2.928224503993988
tool            implement             6.46    9.471542795803442     5.87738923441087   2.8668057918548584
brother         monk                  6.27   2.4862817480738677    2.333545243735693    3.126448094844818
crane           implement             2.69   1.6514632935799916   1.5318337432196856 -0.10687383823096752
lad             brother               4.46   2.5285029514817237    2.333545243735693   1.4060159027576447
journey         car                   5.85                 -0.0                 -0.0   1.8454401195049286
monk            oracle                 5.0    2.256522165279408    2.333545243735693 -0.47225598245859146
cemetery        woodland              2.08   1.2344084378220546   1.2900256809649917    3.070249557495117
food            rooster               4.42   0.9193186093161774   0.8017591149538994  0.39064932614564896
coast           hill                  4.38    5.991131628821826    5.884681030765606   1.6543270647525787
forest          graveyard             1.85                 -0.0                 -0.0   1.1173494905233383
shore           woodland              3.08    1.355829969630242   1.2900256809649917   1.3970078527927399
monk            slave                 0.92   2.5431082019443068    2.333545243735693    0.885525643825531
coast           forest                3.15                 -0.0                 -0.0   2.9157614707946777
lad             wizard                0.92   2.5509146617598177    2.333545243735693    2.029847800731659
chord           smile                 0.54    0.555059125278703   0.5962292078977726   1.0053610801696777
glass           magician              2.08   0.7447842876832838   0.8017591149538994   0.5961594730615616
noon            string                0.54                 -0.0                 -0.0 -0.07039053365588188
rooster         voyage                0.62                 -0.0                 -0.0 -0.39766766130924225
money           dollar                8.42    3.073659611034023   2.6911028053586055    4.432289004325867
money           currency              9.04     8.63502335339357    6.254931881899411   3.6626631021499634
money           wealth                8.27   0.6804581462865835   0.5962292078977726    4.856672286987305
money           property              7.57   0.7982153089692023   0.5962292078977726   3.9373940229415894
money           possession            7.29   0.7050442796520504   0.5962292078977726    2.418728470802307
money           bank                   8.5                 -0.0                 -0.0    4.363054037094116
money           deposit               7.73                 -0.0                 -0.0    3.629535436630249
money           withdrawal            6.88   0.5756165687165145   0.5962292078977726    2.071354389190674
money           laundering            5.65   0.5837226203433131   0.5962292078977726    4.736762344837189
money           operation             3.31   0.7255643852471938   0.5962292078977726   2.8771620988845825
tiger           jaguar                 8.0    1.794533346820838   2.2241504712318556   3.1860721111297607
tiger           feline                 8.0   2.1251344156256518   2.2241504712318556   1.5238100290298462
tiger           carnivore             7.08    2.204307095437546   2.2241504712318556   0.3522181510925293
tiger           mammal                6.85   2.5168293847148906   2.2241504712318556   1.5199409425258636
tiger           animal                 7.0    2.584060028178696   2.2241504712318556   3.2383757829666138
tiger           organism              4.77   3.0693758988015962   2.2241504712318556    0.241810604929924
tiger           fauna                 5.62                 -0.0                 -0.0   1.2435588985681534
tiger           zoo                   5.87    1.253988195883625   1.5318337432196856    3.433603346347809
psychology      psychiatry            8.08    6.552293883817466    7.186970970741705    6.271507740020752
psychology      anxiety                7.0   0.5960579771514708   0.5962292078977726   2.2350895404815674
psychology      fear                  6.85   0.6578656336760624   0.5962292078977726   0.7612656056880951
psychology      depression            7.42   0.5938251406479789   0.5962292078977726    1.687995046377182
psychology      clinic                6.58   0.5269273527818584   0.5962292078977726   1.9826187193393707
psychology      doctor                6.42                 -0.0                 -0.0   2.6860591769218445
psychology      Freud                 8.21                 -0.0                 -0.0   3.3938857913017273
psychology      mind                  7.69     3.04017384194818    2.644520854456544   3.1606262922286987
psychology      health                7.23   0.6004979886905243   0.5962292078977726   2.3885363340377808
psychology      science               6.71    8.474590505736941    7.186970970741705    5.684470534324646
psychology      discipline            5.58   7.2756179109236925    5.588776149881785   2.8028783202171326
psychology      cognition             7.48    4.258908474909009    2.644520854456544    4.412127435207367
planet          star                  8.45    8.742320798564323    6.931906203213756    3.734610378742218
planet          constellation         8.06                 -0.0                 -0.0    3.275790810585022
planet          moon                  8.08    7.808882364067532    6.931906203213756     4.96363490819931
planet          sun                   8.02    8.104382016691204    6.931906203213756   3.7813761830329895
planet          galaxy                8.11                 -0.0                 -0.0   4.5716336369514465
planet          space                 7.92                 -0.0                 -0.0    4.193218648433685
planet          astronomer            7.94    1.873903398441255   1.5318337432196856    2.870871424674988
precedent       example               5.85    8.170984525340074    8.077038507516757    3.049669861793518
precedent       information           3.85   0.6877223684176621   0.5962292078977726   1.4406611025333405
precedent       cognition             2.81   3.6889484830512274    2.644520854456544    0.489024855196476
precedent       law                   6.65   0.5942965159929445   0.5962292078977726    3.732045590877533
precedent       collection             2.5   0.7121036028371418   0.5962292078977726   0.8415170013904572
precedent       group                 1.77   0.8196545411162961   0.5962292078977726  0.17252692952752113
precedent       antecedent            6.04                 -0.0                 -0.0   1.7536091804504395
cup             coffee                6.58   0.7832228882008228   0.8017591149538994   2.3093804717063904
cup             tableware             6.85    8.402414484216962    7.490185985606436 -0.48064351081848145
cup             article                2.4   2.5705853404735612    2.305848731451232   0.6932425498962402
cup             artifact              2.92   3.6472499561999214    2.305848731451232  -1.0705773532390594
cup             object                3.69   2.2187326933154097   1.2900256809649917 0.008396338671445847
cup             entity                2.15                 -0.0                 -0.0 0.008168276399374008
cup             drink                 7.25                 -0.0                 -0.0   2.5011029839515686
cup             food                   5.0   1.0267172015564763   0.8017591149538994   1.0727022588253021
cup             substance             1.92   1.1273072734249998   0.8017591149538994   0.5970926210284233
cup             liquid                 5.9   0.9554901937757259   0.8017591149538994   1.7288494110107422
jaguar          cat                   7.42     8.03649819480706    8.663481537685325   2.0211465656757355
jaguar          car                   7.27    1.523372082982704   1.5318337432196856   3.9016440510749817
energy          secretary             1.81    1.021874084143099   0.8017591149538994     2.60883629322052
